period,unit_coverage_pct,unit_coverage_min,unit_coverage_max,all_tests_coverage_pct,coverage_observations,cves_reported,period_start,period_end
2020,32.730778647626686,31.255742437693858,34.01716488925433,63.737500000000004,12,141,2020-01-01,2020-12-31
2021,34.6292155544047,32.75608936865148,35.82620501091776,64.10000000000001,12,123,2021-01-01,2021-12-31
2022,34.82113477392589,33.99460135475437,35.54078765358496,63.623333333333335,12,155,2022-01-01,2022-12-31
2023,35.173703756520915,34.772596119632034,35.610101728396906,65.38083333333333,12,174,2023-01-01,2023-12-31
