period,unit_line_coverage_pct,unit_branch_coverage_pct,coverage_observations,unit_line_total_mean,unit_branch_total_mean,cves_reported,period_start,period_end,complete_period
2021,54.22434521514137,40.87822904595125,413,11442822.56416465,6830732.261501211,314,2021-01-01,2021-12-31,True
2022,58.56687500149358,47.58029296743897,463,4174977.2591792657,1705130.3671706263,378,2022-01-01,2022-12-31,True
2023,55.63034125540561,44.64159686423337,322,4647408.714285715,1825480.701863354,247,2023-01-01,2023-12-31,True
2024,59.8587171071003,48.55629116890636,323,5020472.956656347,1963323.9907120743,244,2024-01-01,2024-12-31,True
2025,60.89575471632976,50.61893662904336,362,5370266.709944751,2304871.5635359115,192,2025-01-01,2025-12-31,True
