cve,reported_at_utc,reported_date,year,severity,description,component_hint,post_title,post_url
CVE-2018-6054,2018-01-24T20:30:00+00:00,2018-01-24,2018,Low,Use after free in WebUI. Reported by Rob Wu on 2017-12-24,WebUI,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6031,2018-01-24T20:30:00+00:00,2018-01-24,2018,High,Use after free in PDFium. Reported by Anonymous on 2017-11-01,PDFium,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6032,2018-01-24T20:30:00+00:00,2018-01-24,2018,High,Same origin bypass in Shared Worker. Reported by Jun Kokatsu (@shhnjk) on 2017-11-20,Shared Worker,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6033,2018-01-24T20:30:00+00:00,2018-01-24,2018,High,Race when opening downloaded files. Reported by Juho Nurminen on 2017-12-09,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6034,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Integer overflow in Blink. Reported by Tobias Klein (www.trapkit.de) on 2017-11-12,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6035,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Insufficient isolation of devtools from extensions. Reported by Rob Wu on 2017-12-23,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6036,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Integer underflow in WebAssembly. Reported by The UK's National Cyber Security Centre (NCSC) on 2017-11-30,WebAssembly,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6037,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Insufficient user gesture requirements in autofill. Reported by Paul Stone of Context Information Security on 2017-08-09,autofill,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6038,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Heap buffer overflow in WebGL. Reported by cloudfuzzer on 2017-10-12,WebGL,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6039,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,XSS in DevTools. Reported by Juho Nurminen on 2017-10-17,DevTools,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6040,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Content security policy bypass. Reported by WenXu Wu of Tencent's Xuanwu Lab on 2017-10-26,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6041,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,URL spoof in Navigation. Reported by Luan Herrera on 2017-08-29,Navigation,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6053,2018-01-24T20:30:00+00:00,2018-01-24,2018,Low,Leak of page thumbnails in New Tab Page. Reported by Asset Kabdenov on 2017-08-23,New Tab Page,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6043,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Insufficient escaping with external URL handlers. Reported by 0x09AL on 2017-11-16,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6052,2018-01-24T20:30:00+00:00,2018-01-24,2018,Low,Incomplete no-referrer policy implementation. Reported by Tanner Emek on 2016-05-28,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6051,2018-01-24T20:30:00+00:00,2018-01-24,2018,Low,Referrer leak in XSS Auditor. Reported by Antonio Sanso (@asanso) on 2014-12-11,XSS Auditor,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6050,2018-01-24T20:30:00+00:00,2018-01-24,2018,Low,URL spoof in OmniBox. Reported by Jonathan Kew on 2017-10-15,OmniBox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6049,2018-01-24T20:30:00+00:00,2018-01-24,2018,Low,UI spoof in Permissions. Reported by WenXu Wu of Tencent's Xuanwu Lab on 2017-10-13,Permissions,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6042,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,URL spoof in OmniBox. Reported by Khalil Zhani on 2017-10-12,OmniBox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6048,2018-01-24T20:30:00+00:00,2018-01-24,2018,Low,Referrer policy bypass in Blink. Reported by Jun Kokatsu (@shhnjk) on 2017-09-08,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6047,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Cross origin URL leak in WebGL. Reported by Masato Kinugawa on 2018-01-08,WebGL,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6046,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Insufficient isolation of devtools from extensions. Reported by Rob Wu on 2017-12-31,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6045,2018-01-24T20:30:00+00:00,2018-01-24,2018,Medium,Insufficient isolation of devtools from extensions. Reported by Rob Wu on 2017-12-23,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2017-15420,2018-01-24T20:30:00+00:00,2018-01-24,2018,Low,URL spoofing in Omnibox. Reported by Drew Springall (@_aaspring_) on 2017-10-05,Omnibox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/01/stable-channel-update-for-desktop_24.html
CVE-2018-6056,2018-02-14T00:04:00+00:00,2018-02-14,2018,,Incorrect derived class instantiation in V8.,V8,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/02/stable-channel-update-for-desktop_13.html
CVE-2018-6067,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Buffer overflow in Skia.,Skia,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6066,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Same Origin Bypass via canvas.,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6065,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Integer overflow in V8.,V8,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6064,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Type confusion in V8.,V8,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6063,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Incorrect permissions on shared memory.,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6061,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Race condition in V8.,V8,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6062,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Heap buffer overflow in Skia.,Skia,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6068,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Object lifecycle issues in Chrome Custom Tab.,Chrome Custom Tab,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6060,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Use after free in Blink.,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2017-11225,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Use after free in Flash.,Flash,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6057,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Incorrect permissions on shared memory.,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6069,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Stack buffer overflow in Skia.,Skia,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2017-11215,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Use after free in Flash.,Flash,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6071,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Heap bufffer overflow in Skia.,Skia,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6070,2018-03-06T21:35:00+00:00,2018-03-06,2018,,CSP bypass through extensions.,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6082,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Circumvention of port blocking.,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6081,2018-03-06T21:35:00+00:00,2018-03-06,2018,,XSS in interstitials.,interstitials,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6080,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Information disclosure in IPC call.,IPC call,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6079,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Information disclosure via texture data in WebGL.,WebGL,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6078,2018-03-06T21:35:00+00:00,2018-03-06,2018,,URL Spoof in OmniBox.,OmniBox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6083,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Incorrect processing of AppManifests.,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6076,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Incorrect handling of URL fragment identifiers in Blink.,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6075,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Overly permissive cross origin downloads.,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6074,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Mark-of-the-Web bypass.,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6073,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Heap bufffer overflow in WebGL.,WebGL,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6072,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Integer overflow in PDFium.,PDFium,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6077,2018-03-06T21:35:00+00:00,2018-03-06,2018,,Timing attack using SVG filters.,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/03/stable-channel-update-for-desktop.html
CVE-2018-6151,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Bad cast in DevTools. Reported by Rob Wu on 2018-01-25,DevTools,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6097,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Fullscreen UI spoof. Reported by xisigr of Tencent's Xuanwu Lab on 2018-01-26,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6096,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Fullscreen UI spoof. Reported by WenXu Wu of Tencent's Xuanwu Lab on 2017-10-19,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6150,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Cross origin information disclosure in Service Workers. Reported by Rob Wu on 2018-02-15,Service Workers,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6095,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Lack of meaningful user interaction requirement before file upload. Reported by Abdulrahman Alqabandi (@qab) on 2016-08-11,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6094,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Exploit hardening regression in Oilpan. Reported by Chris Rohlf on 2016-08-01,Oilpan,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6152,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Local file write in DevTools. Reported by Rob Wu on 2018-01-24,DevTools,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6092,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,High,Integer overflow in WebAssembly. Reported by Natalie Silvanovich of Google Project Zero on 2018-03-08,WebAssembly,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6091,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,High,Incorrect handling of plug-ins by Service Worker. Reported by Jun Kokatsu (@shhnjk) on 2017-10-05,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6090,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,High,Heap buffer overflow in Skia. Reported by ZhanJia Song on 2018-03-12,Skia,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6089,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,High,Same origin policy bypass in Service Worker. Reported by Rob Wu on 2018-02-04,Service Worker,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6098,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,URL spoof in Omnibox. Reported by Khalil Zhani on 2018-01-03,Omnibox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6088,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,High,Use after free in PDFium. Reported by Anonymous on 2018-03-15,PDFium,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6087,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,High,Use after free in WebAssembly. Reported by Anonymous on 2018-02-20,WebAssembly,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6086,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Critical,Use after free in Disk Cache. Reported by Ned Williamson on 2018-03-30,Disk Cache,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6093,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Same origin bypass in Service Worker. Reported by Jun Kokatsu (@shhnjk) on 2017-11-01,Service Worker,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6099,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,CORS bypass in ServiceWorker. Reported by Jun Kokatsu (@shhnjk) on 2018-02-03,ServiceWorker,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6106,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Incorrect handling of promises in V8. Reported by lokihardt of Google Project Zero on 2018-01-25,V8,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6101,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,Insufficient protection of remote debugging prototol in DevTools . Reported by Rob Wu on 2018-02-19,DevTools,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6085,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Critical,Use after free in Disk Cache. Reported by Ned Williamson on 2018-03-28,Disk Cache,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6084,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,Incorrect use of Distributed Objects in Google Software Updater on MacOS. Reported by Ian Beer of Google Project Zero on 2018-03-15,Google Software Updater on MacOS,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6117,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,Confusing autofill settings. Reported by Spencer Dailey on 2018-03-15,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6115,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,SmartScreen bypass in downloads. Reported by James Feher on 2018-03-07,downloads,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6114,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,CSP bypass. Reported by Lnyas Zhang on 2018-02-13,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6113,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,URL spoof in Navigation. Reported by Khalil Zhani on 2018-01-25,Navigation,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6112,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,Incorrect URL handling in DevTools. Reported by Rob Wu on 2017-12-29,DevTools,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6100,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,URL spoof in Omnibox. Reported by Lnyas Zhang on 2018-02-11,Omnibox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6111,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,Heap-use-after-free in DevTools. Reported by Khalil Zhani on 2017-11-02,DevTools,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6109,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,Incorrect handling of files by FileAPI. Reported by Dominik Weber (@DoWeb_) on 2017-04-10,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6108,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,URL spoof in Omnibox. Reported by Khalil Zhani on 2018-02-27,Omnibox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6107,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,URL spoof in Omnibox. Reported by Khalil Zhani on 2018-02-02,Omnibox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6105,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,URL spoof in Omnibox. Reported by Khalil Zhani on 2018-01-18,Omnibox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6104,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,URL spoof in Omnibox. Reported by Khalil Zhani on 2018-03-08,Omnibox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6103,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,UI spoof in Permissions. Reported by Khalil Zhani on 2018-02-24,Permissions,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6102,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Medium,URL spoof in Omnibox. Reported by Khalil Zhani on 2018-02-20,Omnibox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6110,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,Incorrect handling of plaintext files via file:// . Reported by Wenxiang Qian (aka blastxiang) on 2017-10-24,,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6116,2018-04-17T23:50:00.001000+00:00,2018-04-17,2018,Low,Incorrect low memory handling in WebAssembly. Reported by Jin from Chengdu Security Response Center of Qihoo 360 Technology Co. Ltd. on 2018-03-15,WebAssembly,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop.html
CVE-2018-6118,2018-04-26T21:58:00+00:00,2018-04-26,2018,,Use after free in Media Cache.,Media Cache,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/04/stable-channel-update-for-desktop_26.html
CVE-2018-6122,2018-05-10T20:55:00+00:00,2018-05-10,2018,High,Type confusion in V8.,V8,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop.html
CVE-2018-6121,2018-05-10T20:55:00+00:00,2018-05-10,2018,High,Privilege Escalation in extensions.,extensions,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop.html
CVE-2018-6120,2018-05-10T20:55:00+00:00,2018-05-10,2018,High,Heap buffer overflow in PDFium. Reported by Zhou Aiting(@zhouat1) of Qihoo 360 Vulcan Team on 2018-04-17,PDFium,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop.html
CVE-2018-6123,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Use after free in Blink.,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6124,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Type confusion in Blink.,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6125,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Overly permissive policy in WebUSB.,WebUSB,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6127,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Use after free in indexedDB.,indexedDB,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6128,2018-05-29T19:57:00+00:00,2018-05-29,2018,,uXSS in Chrome on iOS.,Chrome on iOS,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6129,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Out of bounds memory access in WebRTC.,WebRTC,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6130,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Out of bounds memory access in WebRTC.,WebRTC,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6131,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Incorrect mutability protection in WebAssembly.,WebAssembly,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6132,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Use of uninitialized memory in WebRTC.,WebRTC,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6133,2018-05-29T19:57:00+00:00,2018-05-29,2018,,URL spoof in Omnibox.,Omnibox,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6134,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Referrer Policy bypass in Blink.,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6126,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Heap buffer overflow in Skia.,Skia,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6136,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Out of bounds memory access in V8.,V8,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6135,2018-05-29T19:57:00+00:00,2018-05-29,2018,,UI spoofing in Blink.,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6145,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Incorrect escaping of MathML in Blink.,Blink,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6147,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Password fields not taking advantage of OS protections in Views.,Views,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6143,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Out of bounds memory access in V8.,V8,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6142,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Out of bounds memory access in V8.,V8,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6144,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Out of bounds memory access in PDFium.,PDFium,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
CVE-2018-6140,2018-05-29T19:57:00+00:00,2018-05-29,2018,,Restrictions bypass in the debugger extension API.,the debugger extension API,Stable Channel Update for Desktop,https://chromereleases.googleblog.com/2018/05/stable-channel-update-for-desktop_58.html
